Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE	Absolute score (sig.score)
C522_E1_B1	0.23056482760788	0	0	0	1.09769421608146	1.62676009002103	1.57871101437006	0.35178497746282	0	1.17092038391106	0	2.61845513145495	1.62569367573922	0.129067709698581	0.621073071514846	4.71135254746726	5.49051081904303	0	0	9.03296846386385	2.61008423353931	1.66645572603092	0.003	0.372205694680251	0.940382325101514	34.5620968878063
C522_E1_B2	0.231681333476449	0	0	0.816963957007373	0	9.3036762031034	0	0.37388245176705	0.279961396188864	0	3.40943299650787	0	0	1.50646697941194	0.0100221326124143	0	0.00699319460485723	0.58554443673092	0	2.61851418564814	0	7.93582634103326	0.037	0.140649034781091	1.0784547174622	27.0789656080925
C522_E1_G2	1.56270243170207	0	1.41477021281324	0.465992613450834	0	16.4086251553577	1.94653177071314	0	0	0	0	0	0.140365017016777	1.01190744886559	0.649365601152734	0	0.912420134181477	0.309550728493719	0.292810790703303	0	0.766247022365213	0	0.125	0.0827714539248993	1.08644551943337	25.8812889268158
C524_B1_B1	0.296909288084398	0	0	0.0570863367543888	0	2.16611859440889	0.948247186757658	0	0	0	0.28603034839497	0	0.0401066140216888	1.39935836049029	0.0669438781717562	0	0.102367959856218	0.0920347170006751	0	4.40368490061996	0.631457688872159	0.15154330463592	0.122	0.083491820162078	1.13883909150518	10.641889178069
C524_B1_G10	0.608110604734553	0	0	0	0	3.38504463852147	1.31243219211583	0.0557487199982151	0	0	1.34653827256333	0	0	2.40725723538597	0	0.807449257677307	0	0.294738862181913	0	2.31700906630322	0.123409529337108	0.0157313085677241	0.42	0.0151385709236888	1.10404670150464	12.6734696873866
C524_B1_G4	0.00778193274118291	0	0	0	0	0.289852795397722	0.080596546618857	0.730941213747416	0.522354710926498	0	0.564975129993948	0	0	5.21395169598356	0	0	0	0.524434455534429	0	2.18631907137155	0.0341819942774026	0	0.364	0.0221724180787107	1.18117103278071	10.1553895465926
C524_B1_G5	0.123782993076439	0.240447499080241	0	2.26544770602021	0	0.957252489810258	1.27018646876209	1.41841931993183	1.44975541193928	0	0.103595581060286	0.239800722660174	0	1.90579840896641	0	0.419408501312332	0.406224165169163	0.832357765255793	0.798610240542957	0	0	1.85902237476346	0.894	-0.0305475359962975	1.10433373657535	14.2901096483509
C524_B1_G6	0	0	0	1.69851303663716	0	2.13870520809754	2.53318827702398	0	0	0	0.534072785597684	0	0.0865654390584828	4.52438685647027	0.0551382215743088	0.426150136365071	0.849259368904419	0.0771185345470159	0	4.06184584570247	0.0450733471311318	0	0.469	0.0105637792327962	1.12863823300588	17.0300170571095
C524_C1_G5	0	0.157212236490608	0	0.734632247910201	1.20161410881477	3.19038237335415	1.76015887582626	0	0	0	1.68818105960363	0	0.0207538969473491	0.261941561811141	0	0	0	0.053682057435586	0	1.12520120567145	0	0.051391608755063	0.554	0.00134810082206133	1.1423309273097	10.2451512326202
C524_D1_B1	0	0.0814764941669645	0.190430941204151	2.3755545303279	0	7.79075943034617	3.74062543417931	0.0573534027029159	0	0	0	0	0.317078833147364	0.266774378655974	0.35771081691613	0	0	0.985690726062628	0	3.12328811751322	0.672563410409785	0.0819585593829904	0.373	0.0204966122977927	1.10945345022131	20.0412650750155
